#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
TAB;-18.0;59.0;31.6;0.955
PAY;-25.9;80.5;43.9;0.911
CAR;-8.0;63.3;33.6;0.941
MIL;-4.7;61.9;36.4;0.947
NOR;-37.1;83.9;48.1;0.875
TOR;-36.9;85.2;51.6;0.868
TAT;6.8;55.0;35.3;0.963
MIS;-20.3;62.5;37.3;0.954
CAB;-27.9;81.8;48.4;0.886
VIS;-34.7;64.6;41.8;0.926
PAL;-29.5;85.0;47.4;0.895
OUJ;-6.7;57.5;32.4;0.958
GHA;3.7;55.1;36.4;0.964
CEN;-18.5;79.8;42.7;0.91
