#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
TAB;-19.9;57.4;30.2;0.958
PAY;-28.4;78.5;41.6;0.916
CAR;-9.7;60.3;31.2;0.947
MIL;-6.8;60.0;34.5;0.95
NOR;-39.4;83.5;46.7;0.879
TOR;-39.6;84.7;50.2;0.872
TAT;3.5;50.3;32.4;0.969
MIS;-23.1;60.0;35.2;0.958
CAB;-31.2;81.7;46.9;0.889
VIS;-37.0;64.1;40.9;0.929
PAL;-32.6;85.1;45.8;0.897
OUJ;-9.9;54.9;30.1;0.962
GHA;0.1;50.5;33.6;0.97
CEN;-20.6;76.7;39.6;0.918
