#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
TAB;69.8;132.7;94.7;0.166
PAY;35.1;92.3;63.3;0.426
CAR;53.4;109.4;77.1;0.307
MIL;48.1;99.3;65.4;0.28
NOR;24.9;79.3;52.4;0.523
TOR;28.8;87.2;58.4;0.45
TAT;89.5;148.3;110.7;0.007
MIS;74.4;143.8;104.0;-0.019
CAB;28.0;82.9;56.7;0.562
VIS;19.2;68.9;46.0;0.66
PAL;38.4;93.0;63.1;0.516
OUJ;78.5;138.0;100.9;0.176
GHA;121.9;191.3;140.0;-0.595
CEN;52.5;112.3;79.5;0.304
