#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
TAB;0.8;81.0;45.8;0.923
PAY;2.0;86.9;53.6;0.899
CAR;11.1;80.7;47.7;0.913
MIL;14.7;77.8;47.4;0.92
NOR;-5.7;81.6;50.7;0.873
TOR;-0.7;86.1;55.7;0.858
TAT;21.4;79.0;48.5;0.927
MIS;4.5;90.6;54.9;0.914
CAB;1.6;82.3;53.1;0.874
VIS;-10.2;66.8;44.1;0.925
PAL;5.1;89.2;55.9;0.877
OUJ;14.5;84.9;49.9;0.917
GHA;20.6;86.9;51.2;0.915
CEN;11.8;95.5;59.2;0.878
