#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
TAB;65.1;128.3;92.0;0.423
PAY;33.5;93.6;64.6;0.554
CAR;51.4;108.4;77.4;0.515
MIL;47.4;98.9;66.0;0.469
NOR;22.5;79.5;53.0;0.627
TOR;26.3;86.7;58.7;0.592
TAT;89.7;145.8;110.5;0.291
MIS;71.7;141.0;102.6;0.256
CAB;26.4;82.7;57.1;0.662
VIS;17.4;69.1;46.7;0.745
PAL;35.5;92.8;63.3;0.634
OUJ;74.2;134.6;98.9;0.43
GHA;116.9;182.0;135.0;-0.107
CEN;49.9;112.2;80.0;0.465
