#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
TAB;-15.5;61.4;33.6;0.951
PAY;-22.3;82.7;46.6;0.906
CAR;-5.5;66.0;36.1;0.935
MIL;-2.0;64.3;38.4;0.942
NOR;-33.7;83.8;49.1;0.873
TOR;-32.3;84.8;52.8;0.868
TAT;10.3;60.5;38.3;0.955
MIS;-17.2;65.8;39.6;0.949
CAB;-23.3;81.7;49.7;0.883
VIS;-31.6;65.2;42.7;0.924
PAL;-25.5;85.5;49.2;0.891
OUJ;-3.8;61.7;35.2;0.951
GHA;7.1;60.5;39.3;0.957
CEN;-14.9;82.7;45.9;0.903
