#station;bias;RMSE;MAE;R2
#-;w/m2;w/m2;w/m2;-
TAB;56.5;121.8;86.0;0.621
PAY;30.7;94.2;65.1;0.666
CAR;46.7;106.8;75.8;0.662
MIL;45.6;97.8;65.9;0.612
NOR;19.1;80.3;53.6;0.714
TOR;22.6;86.8;58.9;0.693
TAT;83.3;138.1;104.3;0.541
MIS;66.7;136.4;99.2;0.507
CAB;23.4;82.7;57.2;0.738
VIS;14.0;69.1;47.0;0.815
PAL;31.0;91.9;62.8;0.732
OUJ;65.1;125.9;90.8;0.656
GHA;106.3;168.6;124.5;0.353
CEN;45.2;111.5;79.4;0.604
